"title" "point"
"256" "빠삐용" "9.20"
"257" "동급생" "9.19"
"258" "과속스캔들" "9.19"
"259" "오베라는 남자" "9.19"
"260" "눈길" "9.19"
"261" "사랑과 영혼" "9.19"
"262" "그린 마일" "9.19"
"263" "인어 공주" "9.19"
"264" "타짜" "9.19"
"265" "아메리칸 히스토리 X" "9.18"
"266" "서서평, 천천히 평온하게" "9.18"
"267" "스타 이즈 본" "9.18"
"268" "파수꾼" "9.18"
"269" "오아시스" "9.18"
"270" "스팅" "9.18"
"271" "헤드윅" "9.18"
"272" "뻐꾸기 둥지 위로 날아간 새" "9.18"
"273" "뽀로로 극장판 공룡섬 대모험" "9.18"
"274" "영웅본색" "9.18"
"275" "해피 투게더" "9.18"
"276" "도망자" "9.18"
"277" "플래툰" "9.17"
"278" "네고시에이터" "9.17"
"279" "뚜르: 내 생애 최고의 49일" "9.17"
"280" "어바웃 타임" "9.17"
"281" "킹 오브 프리즘" "9.17"
"282" "내 사랑" "9.17"
"283" "모아나" "9.17"
"284" "불량소녀, 너를 응원해!" "9.17"
"285" "체인질링" "9.17"
"286" "어 퓨 굿 맨" "9.17"
"287" "바울" "9.16"
"288" "코치 카터" "9.16"
"289" "대부" "9.16"
"290" "일 포스티노" "9.16"
"291" "마틸다" "9.16"
"292" "조조 래빗" "9.16"
"293" "하이 스피드!  "9.16"
"294" "JFK" "9.16"
"295" "파 앤드 어웨이" "9.16"
"296" "트와이스랜드" "9.16"
"297" "제리 맥과이어" "9.16"
"298" "귀향" "9.16"
"299" "식코" "9.16"
"300" "가디언즈" "9.15"
"301" "분노의 역류" "9.15"
"302" "마스크" "9.15"
"303" "흑집사 : 북 오브 더 아틀란틱" "9.15"
"304" "그래도 내가 하지 않았어" "9.15"
"305" "취권" "9.15"
"306" "하이큐!! 재능과 센스" "9.15"
"307" "사랑의 블랙홀" "9.15"
"308" "파워 오브 원" "9.14"
"309" "오즈의 마법사" "9.14"
"310" "스틸 라이프" "9.14"
"311" "비상" "9.14"
"312" "극장판 공룡메카드: 타이니소어의 섬" "9.14"
"313" "길버트 그레이프" "9.14"
"314" "저수지 게임" "9.14"
"315" "설리: 허드슨강의 기적" "9.14"
"316" "귀를 기울이면" "9.14"
"317" "범죄도시" "9.14"
"318" "즐거운 인생" "9.14"
"319" "와이키키 브라더스" "9.14"
"320" "에너미 오브 스테이트" "9.14"
"321" "칠곡 가시나들" "9.14"
"322" "코렐라인: 비밀의 문" "9.13"
"323" "할머니는 일학년" "9.13"
"324" "이집트 왕자" "9.13"
"325" "블러드 다이아몬드" "9.13"
"326" "스텝 업 3D" "9.13"
"327" "국가대표" "9.13"
"328" "아름다운 세상을 위하여" "9.13"
"329" "후크" "9.13"
"330" "클릭" "9.13"
"331" "오직 그대만" "9.13"
"332" "스피드" "9.13"
"333" "혐오스런 마츠코의 일생" "9.12"
"334" "짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!" "9.12"
"335" "미션 임파서블: 폴아웃" "9.12"
"336" "하치 이야기" "9.12"
"337" "겨울왕국" "9.12"
"338" "아는 여자" "9.12"
"339" "점박이 한반도의 공룡2 : 새로운 낙원" "9.12"
"340" "스트레인저 - 무황인담" "9.12"
"341" "뱀파이어와의 인터뷰" "9.12"
"342" "늑대아이" "9.12"
