구분,대인,소인,계
2007-12-11,480,240,720
2007-12-12,48,297,345
2007-12-13,29,499,528
2007-12-14,23,326,349
2007-12-15,107,297,404
2007-12-16,118,366,484
2007-12-17,0,0,0
2007-12-18,22,754,776
2007-12-19,202,31,233
2007-12-20,5,407,412
2007-12-21,22,685,707
2007-12-22,0,1272,1272
2007-12-23,123,50,173
2007-12-24,0,0,0
2007-12-25,167,295,462
2007-12-26,333,375,708
2007-12-27,47,125,172
2007-12-28,47,21,68
2007-12-29,142,62,204
2007-12-30,223,73,296
2007-12-31,0,0,0
2008-01-01,0,0,0
2008-01-02,50,52,102
2008-01-03,59,61,120
2008-01-04,56,28,84
2008-01-05,137,70,207
2008-01-06,148,65,213
2008-01-07,0,0,0
2008-01-08,100,22,122
2008-01-09,68,36,104
2008-01-10,51,122,173
2008-01-11,35,13,48
2008-01-12,83,346,429
2008-01-13,150,58,208
2008-01-14,0,0,0
2008-01-15,54,380,434
2008-01-16,54,186,240
2008-01-17,30,227,257
2008-01-18,43,342,385
2008-01-19,165,38,203
2008-01-20,170,41,211
2008-01-21,0,0,0
2008-01-22,18,92,110
2008-01-23,51,227,278
2008-01-24,34,157,191
2008-01-25,38,96,134
2008-01-26,0,601,601
2008-01-27,242,71,313
2008-01-28,0,0,0
2008-01-29,48,16,64
2008-01-30,33,50,83
2008-01-31,45,64,109
2008-02-01,22,106,128
2008-02-02,292,70,362
2008-02-03,285,109,394
2008-02-04,0,0,0
2008-02-05,72,70,142
2008-02-06,83,41,124
2008-02-07,219,218,437
2008-02-08,211,83,294
2008-02-09,148,162,310
2008-02-10,155,50,205
2008-02-11,0,0,0
2008-02-12,10,23,33
2008-02-13,6,78,84
2008-02-14,28,84,112
2008-02-15,13,17,30
2008-02-16,118,56,174
2008-02-17,160,53,213
2008-02-18,0,0,0
2008-02-19,42,37,79
2008-02-20,38,16,54
2008-02-21,39,342,381
2008-02-22,23,8,31
2008-02-23,0,597,597
2008-02-24,127,39,166
2008-02-25,0,0,0
2008-02-26,41,18,59
2008-02-27,31,29,60
2008-02-28,90,38,128
2008-02-29,59,331,390
2008-03-01,520,120,640
2008-03-02,480,107,587
2008-03-03,0,0,0
2008-03-04,7,12,19
2008-03-05,11,13,24
2008-03-06,5,46,51
2008-03-07,20,22,42
2008-03-08,131,475,606
2008-03-09,146,56,202
2008-03-10,0,0,0
2008-03-11,13,77,90
2008-03-12,12,10,22
2008-03-13,10,11,21
2008-03-14,13,48,61
2008-03-15,92,56,148
2008-03-16,148,52,200
2008-03-17,0,0,0
2008-03-18,20,273,293
2008-03-19,24,252,276
2008-03-20,10,198,208
2008-03-21,21,210,231
2008-03-22,0,589,589
2008-03-23,144,40,184
2008-03-24,0,0,0
2008-03-25,17,364,381
2008-03-26,32,65,97
2008-03-27,19,48,67
2008-03-28,30,121,151
2008-03-29,127,16,143
2008-03-30,119,47,166
2008-03-31,0,0,0
2008-04-01,41,59,100
2008-04-02,13,10,23
2008-04-03,89,22,111
2008-04-04,13,168,181
2008-04-05,61,496,557
2008-04-06,139,48,187
2008-04-07,0,0,0
2008-04-08,10,66,76
2008-04-09,125,450,575
2008-04-10,16,60,76
2008-04-11,61,26,87
2008-04-12,120,736,856
2008-04-13,149,49,198
2008-04-14,0,0,0
2008-04-15,7,164,171
2008-04-16,9,83,92
2008-04-17,10,71,81
2008-04-18,22,58,80
2008-04-19,90,939,1029
2008-04-20,87,38,125
2008-04-21,0,0,0
2008-04-22,48,132,180
2008-04-23,46,196,242
2008-04-24,214,38,252
2008-04-25,23,54,77
2008-04-26,0,1876,1876
2008-04-27,205,71,276
2008-04-28,0,0,0
2008-04-29,28,302,330
2008-04-30,214,355,569
2008-05-01,281,283,564
2008-05-02,128,57,185
2008-05-03,222,353,575
2008-05-04,387,345,732
2008-05-05,2880,3180,6060
2008-05-06,42,10,52
2008-05-07,330,321,651
2008-05-08,58,3,61
2008-05-09,315,716,1031
2008-05-10,413,362,775
2008-05-11,266,185,451
2008-05-12,0,0,0
2008-05-13,50,294,344
2008-05-14,113,91,204
2008-05-15,263,58,321
2008-05-16,111,206,317
2008-05-17,1233,1562,2795
2008-05-18,169,147,316
2008-05-19,0,0,0
2008-05-20,116,8,124
2008-05-21,175,208,383
2008-05-22,232,89,321
2008-05-23,377,224,601
2008-05-24,1373,1295,2668
2008-05-25,144,102,246
2008-05-26,0,0,0
2008-05-27,177,54,231
2008-05-28,72,11,83
2008-05-29,128,31,159
2008-05-30,162,83,245
2008-05-31,574,313,887
2008-06-01,181,140,321
2008-06-02,0,0,0
2008-06-03,54,8,62
2008-06-04,76,205,281
2008-06-05,490,428,918
2008-06-06,203,196,399
2008-06-07,310,387,697
2008-06-08,180,130,310
2008-06-09,0,0,0
2008-06-10,193,15,208
2008-06-11,480,68,548
2008-06-12,363,47,410
2008-06-13,226,103,329
2008-06-14,788,554,1342
2008-06-15,163,178,341
2008-06-16,12,27,39
2008-06-17,362,93,455
2008-06-18,119,23,142
2008-06-19,271,12,283
2008-06-20,53,68,121
2008-06-21,447,436,883
2008-06-22,104,68,172
2008-06-23,0,0,0
2008-06-24,201,53,254
2008-06-25,461,20,481
2008-06-26,254,67,321
2008-06-27,235,311,546
2008-06-28,298,323,621
2008-06-29,159,103,262
2008-06-30,0,0,0
2008-07-01,191,7,198
2008-07-02,76,12,88
2008-07-03,299,12,311
2008-07-04,126,59,185
2008-07-05,801,543,1344
2008-07-06,149,91,240
2008-07-07,0,0,0
2008-07-08,168,98,266
2008-07-09,222,74,296
2008-07-10,439,8,447
2008-07-11,90,22,112
2008-07-12,348,396,744
2008-07-13,144,79,223
2008-07-14,0,0,0
2008-07-15,51,23,74
2008-07-16,521,284,805
2008-07-17,96,282,378
2008-07-18,993,116,1109
