"","title","code","audience_male","audience_female"
"1179","날아라 허동구","61701",NA,NA
"1180","수상한 고객들","79439",NA,NA
"1181","꽃피는 봄이 오면","38378",NA,NA
"1182","카트","118922","38%","62%"
"1183","고양이의 보은","37073",NA,NA
"1184","서유기 : 모험의 시작","103545","29%","71%"
"1185","천국의 우편배달부","71901",NA,NA
"1186","패션 오브 크라이스트","38197",NA,NA
"1187","완벽한 타인","167638","42%","58%"
"1188","오두막","125447","24%","76%"
"1189","명탐정 코난: 11번째 스트라이커","92412",NA,NA
"1190","라라랜드","134963","42%","58%"
"1191","지구","44997",NA,NA
"1192","서바이벌 패밀리","159645","67%","33%"
"1193","킹덤 오브 헤븐: 디렉터스 컷","38908","61%","39%"
"1194","국화꽃 향기","35900",NA,NA
"1195","플라이","11093",NA,NA
"1196","범죄의 여왕","139701","48%","52%"
"1197","태풍이 지나가고","146548","33%","67%"
"1198","배드 지니어스","163386","33%","67%"
"1199","앤트맨","92064","60%","40%"
"1200","다우트","51689",NA,NA
"1201","드림 쏭","133447","26%","74%"
"1202","도쿄 타워","65290",NA,NA
"1203","도화선","66598",NA,NA
"1204","뽀로로 극장판 슈퍼썰매 대모험","101242","100%",NA
"1205","새미의 어드벤쳐 2","94506",NA,NA
"1206","폭풍 속으로","11088",NA,NA
"1207","모터싸이클 다이어리","38551",NA,NA
"1208","진주만","31267",NA,NA
"1209","죽어야 사는 여자","11810",NA,NA
"1210","런치박스","111527","23%","77%"
"1211","러닝 스케어드","58434",NA,NA
"1212","안녕,헤이즐","118370","39%","61%"
"1213","웨이 백","52429",NA,NA
"1214","약장수","128265","41%","59%"
"1215","내가 고백을 하면","99355",NA,NA
"1216","풀 메탈 자켓","11671",NA,NA
"1217","키스 오브 드래곤","31708",NA,NA
"1218","스내치","31066",NA,NA
"1219","노스 컨츄리","39377",NA,NA
"1220","포카혼타스","17230",NA,NA
"1221","겟 썸","47359",NA,NA
"1222","몬스터 호텔 3","169643","19%","81%"
"1223","내니 맥피 - 우리 유모는 마법사","54435",NA,NA
"1224","아이스 에이지","34449",NA,NA
"1225","철도원","27255","58%","42%"
"1226","몬스터 콜","125401","37%","63%"
"1227","침묵의 목격자","109957","100%",NA
"1228","자전거 탄 소년","85606","47%","53%"
"1229","논스톱","98484","58%","42%"
"1230","인정사정 볼 것 없다","25578",NA,NA
"1231","비커밍 제인","64242","100%",NA
"1232","몬스터 호텔 2","122596","22%","78%"
"1233","캐롤","101962","25%","75%"
"1234","가족의 탄생","56447",NA,NA
"1235","4등","132946","35%","65%"
"1236","라스트베가스","94766","49%","51%"
"1237","아이 필 프리티","168017","22%","78%"
"1238","패딩턴","114248","24%","76%"
"1239","프레스티지","56058",NA,NA
"1240","우리 생애 최고의 순간","65991",NA,NA
"1241","실버라이닝 플레이북","82283","100%",NA
"1242","드림걸즈","61450",NA,NA
"1243","빠삐용","154288","55%","45%"
"1244","타락천사","17058",NA,NA
"1245","소중한 날의 꿈","41635","40%","60%"
"1246","반창꼬","91045",NA,NA
"1247","천년여우 여우비","44044",NA,NA
"1248","극장판 도라에몽 진구의 아프리카 모험 : 베코와 5인의 탐험대","122581","29%","71%"
