Country Name,Country Code,Continent,GDP,Life Expectation,OECD
Singapore,SGP,Asia,64581.94402,83.14634146,FALSE
Solomon Islands,SLB,Oceania,2137.690695,72.835,FALSE
Sierra Leone,SLE,Africa,533.9911843,54.309,FALSE
El Salvador,SLV,South America,4058.252439,73.096,FALSE
Somalia,SOM,Africa,314.5441657,57.068,FALSE
Serbia,SRB,Europe,7246.731656,75.53902439,FALSE
South Sudan,SSD,Africa,1119.651332,57.604,FALSE
Suriname,SUR,South America,6234.044922,71.57,FALSE
Slovak Republic,SVK,Europe,19442.70576,77.16585366,TRUE
Slovenia,SVN,Europe,26123.97387,81.02926829,TRUE
Sweden,SWE,Europe,54608.36025,82.51219512,TRUE
Eswatini,SWZ,Africa,4145.974112,59.401,FALSE
Seychelles,SYC,Africa,16433.93529,72.84146341,FALSE
Chad,TCD,Africa,728.3432354,53.977,FALSE
Togo,TGO,Africa,679.2570836,60.76,FALSE
Thailand,THA,Asia,7273.563207,76.931,FALSE
Tajikistan,TJK,Asia,826.6215305,70.879,FALSE
Turkmenistan,TKM,Asia,6966.635411,68.073,FALSE
Timor-Leste,TLS,Asia,2035.533908,69.26,FALSE
Tonga,TON,Oceania,4364.015561,70.801,FALSE
Tunisia,TUN,Africa,3447.50791,76.505,FALSE
Turkey,TUR,Asia,9370.176344,77.437,TRUE
Tanzania,TZA,Africa,1060.994615,65.015,FALSE
Uganda,UGA,Africa,642.7767443,62.973,FALSE
Ukraine,UKR,Asia,3095.173581,71.58268293,FALSE
Uruguay,URY,Europe,17277.97011,77.77,FALSE
United States,USA,North America,62794.58565,78.53902439,TRUE
Uzbekistan,UZB,Asia,1532.371677,71.573,FALSE
St. Vincent and the Grenadines,VCT,South America,7361.400962,72.415,FALSE
Venezuela,VEN,South America,16054.49051,72.128,FALSE
Virgin Islands (U.S.),VIR,North America,35938.02439,79.56829268,FALSE
Vietnam,VNM,Asia,2566.59695,75.317,FALSE
Vanuatu,VUT,Oceania,3123.893396,70.323,FALSE
Samoa,WSM,Oceania,4183.407935,73.187,FALSE
Kosovo,XKX,Europe,4302.276483,72.19512195,FALSE
"Yemen, Rep.",YEM,Middle East,944.4084994,66.096,FALSE
South Africa,ZAF,Africa,6374.028196,63.857,FALSE
Zambia,ZMB,Africa,1539.900158,63.51,FALSE
Zimbabwe,ZWE,Africa,2146.996385,61.195,FALSE
